enc1_dim,enc2_dim,latent_dim,learning_rate,batch_size,mean_val_loss
128,64,8,0.0005,64,0.019872177431049447
128,32,16,0.001,64,0.033803270237209894
128,64,8,0.001,64,0.04880114955206712
128,64,32,0.001,64,0.05005479324609041
64,64,8,0.001,64,0.050368239171803
64,32,32,0.0005,64,0.050747623977561794
128,16,16,0.0005,64,0.05075026769191027
32,16,8,0.0005,64,0.05078240546087424
64,32,16,0.0005,64,0.050794958447416626
128,32,8,0.0005,64,0.05133321601897478
128,16,8,0.001,64,0.05149082994709412
128,64,16,0.001,64,0.05149284408738216
32,32,32,0.001,64,0.05150542128831148
128,16,8,0.0005,64,0.05166088199863831
64,64,32,0.0005,64,0.05189892463386059
64,64,32,0.001,64,0.05266179951528708
128,32,32,0.001,64,0.05296457031120857
64,16,8,0.0005,64,0.052966174048682056
32,16,8,0.001,64,0.05339504716296991
32,32,16,0.0005,64,0.053499139845371246
128,32,16,0.0005,64,0.05377465486526489
128,32,8,0.001,64,0.0540616891036431
64,16,16,0.001,64,0.05417142901569605
32,16,16,0.001,64,0.0542076068619887
32,32,16,0.001,64,0.054502710700035095
64,64,16,0.001,64,0.05483986188968023
32,16,16,0.0005,64,0.05507571374376615
64,16,16,0.0005,64,0.05559629791726669
128,64,16,0.0005,64,0.0556966004272302
128,64,32,0.0005,64,0.055840625117222466
128,32,32,0.0005,64,0.055841900097827114
32,32,32,0.0005,64,0.05588692023108403
64,64,16,0.0005,64,0.05608406414588293
64,32,32,0.001,64,0.05627633724361658
64,64,8,0.0005,64,0.05658717267215252
64,32,8,0.001,64,0.056832036934792995
32,32,8,0.001,64,0.056952573359012604
64,16,8,0.001,64,0.057053134155770145
64,32,16,0.001,64,0.057186782670517765
128,16,16,0.001,64,0.05736487793425719
32,32,8,0.0005,64,0.058843271185954414
64,32,8,0.0005,64,0.06002845366795858
