enc1_dim,enc2_dim,latent_dim,learning_rate,batch_size,mean_val_loss
128,64,32,0.001,64,0.03301646663264061
128,64,8,0.001,64,0.034123954945243895
64,64,8,0.001,64,0.035081105837081045
64,64,32,0.0005,64,0.035693848712576755
32,32,32,0.0005,64,0.048289680025643766
64,32,8,0.0005,64,0.04912711969680256
64,64,32,0.001,64,0.04962128628459242
32,32,8,0.0005,64,0.049721701277626894
32,16,16,0.001,64,0.04972263529068894
64,16,8,0.0005,64,0.04977425870796045
32,32,16,0.0005,64,0.04978415183722973
64,64,16,0.001,64,0.050109269097447395
64,32,32,0.0005,64,0.05033585532671875
128,16,16,0.001,64,0.050424068752262324
64,32,32,0.001,64,0.050427241871754326
128,16,8,0.001,64,0.05043024404181374
128,32,16,0.001,64,0.05043024942278862
128,32,16,0.0005,64,0.050432511087920934
128,64,16,0.001,64,0.050432740400234856
64,16,16,0.0005,64,0.050433367283807866
128,64,8,0.0005,64,0.05043524689972401
64,64,16,0.0005,64,0.05043928842577669
128,32,8,0.001,64,0.05044216641949282
32,32,16,0.001,64,0.05044244022832977
128,16,8,0.0005,64,0.05044286346269978
128,64,16,0.0005,64,0.05044330842792988
64,32,8,0.001,64,0.050444126956992685
64,32,16,0.0005,64,0.05044466215703222
128,64,32,0.0005,64,0.05044567667775684
64,32,16,0.001,64,0.05044687746299637
32,32,8,0.001,64,0.050450217392709516
64,16,16,0.001,64,0.050450426215926804
32,16,8,0.001,64,0.050452503065268196
128,32,8,0.0005,64,0.05045305606391695
128,32,32,0.001,64,0.05045339299572838
64,16,8,0.001,64,0.05045465814570586
64,64,8,0.0005,64,0.05045925701657931
128,32,32,0.0005,64,0.05046026739809248
128,16,16,0.0005,64,0.05046194833185938
32,16,16,0.0005,64,0.05047281955679258
32,16,8,0.0005,64,0.05049994608594311
32,32,32,0.001,64,0.05050871065921254
